ws;Technology;cat;par;unit;priceyear;note;ref;est;year;val
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Secondary regulation (of full load, per minute) [];;;D;14;ctrl;2030;0,04
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Secondary regulation (of full load, per minute) [];;;D;14;ctrl;2050;0,04
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Technology-specific data;Availability [];;;E;7;ctrl;2015;0,95
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Technology-specific data;Availability [];;;E;7;ctrl;2020;0,95
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Technology-specific data;Availability [];;;E;7;ctrl;2030;0,95
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cb coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cb coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cb coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cb coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cb coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Construction time [years];years;;;7;ctrl;2015;0,5
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Construction time [years];years;;;7;ctrl;2020;0,5
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Construction time [years];years;;;7;ctrl;2030;0,5
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cv coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cv coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;ctrl;2020;0
