Year;Scenario;Technology;Node_Type;Value;Country;Climate_Year;Unit_Name
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;71,97139355;Israel;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;71,97139355;Israel;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;71,97139355;Israel;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;359,1378629;Italy;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;359,1378629;Italy;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;359,1378629;Italy;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;8,688674716;Latvia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;8,688674716;Latvia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;8,688674716;Latvia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;17,19907801;Lithuania;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;17,19907801;Lithuania;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;17,19907801;Lithuania;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;10,33242978;Luxembourg;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;10,33242978;Luxembourg;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;10,33242978;Luxembourg;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;62,45719528;Lybia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;62,45719528;Lybia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;62,45719528;Lybia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;3,797167601;Malta;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;3,797167601;Malta;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;3,797167601;Malta;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;6,347270578;Moldavia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;6,347270578;Moldavia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;6,347270578;Moldavia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;4,539434631;Montenegro;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;4,539434631;Montenegro;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;4,539434631;Montenegro;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;51,55349624;Morocco;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;51,55349624;Morocco;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;51,55349624;Morocco;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;157,04301;Netherlands;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;157,04301;Netherlands;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;157,04301;Netherlands;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,593000301;North Macedonia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,593000301;North Macedonia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,593000301;North Macedonia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;177,8632169;Norway;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;177,8632169;Norway;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;177,8632169;Norway;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;10,26526475;Palestine;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;10,26526475;Palestine;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;10,26526475;Palestine;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;188,8983341;Poland;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;188,8983341;Poland;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;188,8983341;Poland;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;55,66334224;Portugal;CY1995;TWh
