Year;Scenario;Category_Simple;Category_Detail;Value;Country;Climate_Year;Property_Name;Unit_Name
2030;National Trends;Gas;Gas OCGT;0,1311;Czech Republic;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen FC;0,0055;Czech Republic;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;6,607254226;Czech Republic;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,021371582;Czech Republic;CY2009;Generation;TWh
2030;National Trends;Gas;Hydrogen FC;0,001944979;Czech Republic;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;2,3564;Czech Republic;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,1311;Czech Republic;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen FC;0,0055;Czech Republic;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,464336784;Denmark;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,592607335;Denmark;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;3,592409405;Denmark;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,159252;Denmark;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,487126;Denmark;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,692906;Denmark;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,464336784;Denmark;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,592607335;Denmark;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;3,592409405;Denmark;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,159252;Denmark;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,487126;Denmark;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,692906;Denmark;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,464336784;Denmark;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,592607335;Denmark;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;3,592409405;Denmark;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,159252;Denmark;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,487126;Denmark;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,692906;Denmark;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;187,1310403;Egypt;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;17,81358978;Egypt;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;31,68373;Egypt;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;16,663492;Egypt;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;187,1310403;Egypt;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;17,81358978;Egypt;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;31,68373;Egypt;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;16,663492;Egypt;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;187,1310403;Egypt;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;17,81358978;Egypt;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;31,68373;Egypt;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;16,663492;Egypt;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,199759269;Estonia;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,25;Estonia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,199759269;Estonia;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,25;Estonia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,199759269;Estonia;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,25;Estonia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;2,167600579;Finland;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,000696;Finland;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,919;Finland;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,125;Finland;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;2,167600579;Finland;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,000696;Finland;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,919;Finland;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,125;Finland;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;2,167600579;Finland;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,000696;Finland;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,919;Finland;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,125;Finland;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;7,119602028;France;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,019697034;France;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;6,552996;France;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,636001;France;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;7,119602028;France;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,019697034;France;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;6,552996;France;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,636001;France;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;7,119602028;France;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,019697034;France;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;6,552996;France;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,636001;France;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;2,408304145;Georgia;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,729999;Georgia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,585001;Georgia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;2,408304145;Georgia;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,729999;Georgia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,585001;Georgia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;2,408304145;Georgia;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,729999;Georgia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,585001;Georgia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;53,14636175;Germany;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,152426917;Germany;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;1,030536961;Germany;CY1995;Generation;TWh
2030;National Trends;Gas;Hydrogen CCGT;5,821895602;Germany;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;22,24588;Germany;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;1,054767;Germany;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;2,399089;Germany;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;8,826114;Germany;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;53,14636175;Germany;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,152426917;Germany;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;1,030536961;Germany;CY2008;Generation;TWh
2030;National Trends;Gas;Hydrogen CCGT;5,821895602;Germany;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;22,24588;Germany;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;1,054767;Germany;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;2,399089;Germany;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;8,826114;Germany;CY2008;Installed Capacity;GW
