OFFSHORE_NODE;OFFSHORE_NODE_TYPE;YEAR;SCENARIO;LAYER;TECH1;TECH2;EXISTING_MW;MARGIN_MW;MAX_MW
BEIOH01;Hub;2040;National Trends;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
BEIOH01;Hub;2045;National Trends;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
BEIOH01;Hub;2050;National Trends;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
BEOH001;Hub;2030;Distributed Energy;AC_FB;AC_FB_R;;3112,484055;0;3112,484055
BEOH001;Hub;2035;Distributed Energy;AC_FB;AC_FB_R;;3112,484055;0;3112,484055
BEOH001;Hub;2040;Distributed Energy;AC_FB;AC_FB_R;;3112,484055;0;3112,484055
BEOH001;Hub;2045;Distributed Energy;AC_FB;AC_FB_R;;3112,484055;0;3112,484055
BEOH001;Hub;2050;Distributed Energy;AC_FB;AC_FB_R;;3112,484055;0;3112,484055
BEOH001;Hub;2030;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
BEOH001;Hub;2035;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
BEOH001;Hub;2040;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
BEOH001;Hub;2045;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
BEOH001;Hub;2050;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
BEOH001;Hub;2030;Distributed Energy;DC_FB;DC_FB_OH;H2_FB_OH;2647,515945;2200;4847,515945
BEOH001;Hub;2035;Distributed Energy;DC_FB;DC_FB_OH;H2_FB_OH;3747,515945;1100;4847,515945
BEOH001;Hub;2040;Distributed Energy;DC_FB;DC_FB_OH;H2_FB_OH;4847,515945;0;4847,515945
BEOH001;Hub;2045;Distributed Energy;DC_FB;DC_FB_OH;H2_FB_OH;4847,515945;0;4847,515945
BEOH001;Hub;2050;Distributed Energy;DC_FB;DC_FB_OH;H2_FB_OH;4847,515945;0;4847,515945
BEOH001;Hub;2030;Distributed Energy;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
BEOH001;Hub;2035;Distributed Energy;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
BEOH001;Hub;2040;Distributed Energy;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
BEOH001;Hub;2045;Distributed Energy;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
BEOH001;Hub;2050;Distributed Energy;DC_FL;DC_FL_OH;H2_FL_OH;0;0;0
