carrier,index_carrier,bus,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
hydro-reservoir,hydro-reservoir-reservoir,BG00,0.0,842.8608593812598,1.0,BG,GWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,BG00,1281.3,0.0,1.0,BG,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,BG00,0.0,42.1425501346902,1.0,BG,GWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,BG00,535,0.0,1.0,BG,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,BG00,-148,0.0,1.0,BG,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,BG00,0.0,227.635753968254,1.0,BG,GWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,BG00,864,0.0,1.0,BG,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,BG00,-784,0.0,1.0,BG,MW,hydro-phs-pure-pump
other-res,other-res,BG00,302,0.0,1.0,BG,MW,other-res
uranium,nuclear,CH00,1190.0,0.0,1.0,CH,MW,nuclear
coal,coal-old1,CH00,0.0,0.0,1.0,CH,MW,coal
coal,coal-old2,CH00,0.0,0.0,1.0,CH,MW,coal
coal,coal-new,CH00,0.0,0.0,1.0,CH,MW,coal
coal,coal-ccs,CH00,0.0,0.0,1.0,CH,MW,coal-ccs
lignite,lignite-old1,CH00,0.0,0.0,1.0,CH,MW,lignite
lignite,lignite-old2,CH00,0.0,0.0,1.0,CH,MW,lignite
lignite,lignite-new,CH00,0.0,0.0,1.0,CH,MW,lignite
lignite,lignite-ccs,CH00,0.0,0.0,1.0,CH,MW,lignite-ccs
gas,gas-conv-old1,CH00,0.0,0.0,1.0,CH,MW,gas-conv
gas,gas-conv-old2,CH00,0.0,0.0,1.0,CH,MW,gas-conv
gas,gas-ccgt-old1,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-old2,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-new,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-ccs,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt-ccs
gas,gas-ocgt-old,CH00,0.0,0.0,1.0,CH,MW,gas-ocgt
gas,gas-ocgt-new,CH00,0.0,0.0,1.0,CH,MW,gas-ocgt
oil-light,oil-light,CH00,0.0,0.0,1.0,CH,MW,oil-light
oil-heavy,oil-heavy-old1,CH00,0.0,0.0,1.0,CH,MW,oil-heavy
oil-heavy,oil-heavy-old2,CH00,0.0,0.0,1.0,CH,MW,oil-heavy
oil-shale,oil-shale-old,CH00,0.0,0.0,1.0,CH,MW,oil-shale
oil-shale,oil-shale-new,CH00,0.0,0.0,1.0,CH,MW,oil-shale
gas,gas-ccgt-present1,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-present2,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,CH00,0.0,0.0,1.0,CH,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,CH00,0.0,0.0,1.0,CH,MW,h2-ccgt
battery,battery-charge,CH00,1221.283571428571,0.0,0.9199999999999999,CH,MW,battery-charge
battery,battery-discharge,CH00,1221.283571428571,0.0,0.9199999999999999,CH,MW,battery-discharge
battery,battery-store,CH00,0.0,610.6417857142857,0.9199999999999999,CH,MWh,battery-store
chp,chp-gas-conventional-old-1-industrial-0eur,CH00,566.5990699412097,0.0,0.36,CH,MW,
hydro-ror,hydro-ror-turbine,CH00,4215,0.0,1.0,CH,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,CH00,0.0,0,1.0,CH,GWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,CH00,0,0.0,1.0,CH,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,CH00,0.0,7911.953267834674,1.0,CH,GWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,CH00,8530,0.0,1.0,CH,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,CH00,0.0,1194,1.0,CH,GWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,CH00,2460,0.0,1.0,CH,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,CH00,-1890,0.0,1.0,CH,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,CH00,0.0,56,1.0,CH,GWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,CH00,1900,0.0,1.0,CH,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,CH00,-1900,0.0,1.0,CH,MW,hydro-phs-pure-pump
other-res,other-res,CH00,425.8891116437436,0.0,1.0,CH,MW,other-res
uranium,nuclear,CY00,0.0,0.0,1.0,CY,MW,nuclear
coal,coal-old1,CY00,0.0,0.0,1.0,CY,MW,coal
coal,coal-old2,CY00,0.0,0.0,1.0,CY,MW,coal
coal,coal-new,CY00,0.0,0.0,1.0,CY,MW,coal
coal,coal-ccs,CY00,0.0,0.0,1.0,CY,MW,coal-ccs
lignite,lignite-old1,CY00,0.0,0.0,1.0,CY,MW,lignite
lignite,lignite-old2,CY00,0.0,0.0,1.0,CY,MW,lignite
lignite,lignite-new,CY00,0.0,0.0,1.0,CY,MW,lignite
lignite,lignite-ccs,CY00,0.0,0.0,1.0,CY,MW,lignite-ccs
gas,gas-conv-old1,CY00,366.0,0.0,1.0,CY,MW,gas-conv
gas,gas-conv-old2,CY00,97.58000000000001,0.0,1.0,CY,MW,gas-conv
gas,gas-ccgt-old1,CY00,0.0,0.0,1.0,CY,MW,gas-ccgt
gas,gas-ccgt-old2,CY00,433.6,0.0,1.0,CY,MW,gas-ccgt
gas,gas-ccgt-new,CY00,425.7,0.0,1.0,CY,MW,gas-ccgt
gas,gas-ccgt-ccs,CY00,0.0,0.0,1.0,CY,MW,gas-ccgt-ccs
