link_id,bus0,bus1,voltage,p_nom,length,underground,under_construction,tags,geometry
FR00-DE00-DC,FR00,DE00,380,4800,741926.3318045092,t,f,FR00 -> DE00,'LINESTRING (2.5531561680612014 46.661234529363774, 10.11340015140031 51.10991486311772)'
FR00-ES00-DC,FR00,ES00,380,5000,818531.6100314459,t,f,FR00 -> ES00,'LINESTRING (2.5531561680612014 46.661234529363774, -3.069317498600462 40.48664108949666)'
FR00-GB00-DC,FR00,GB00,380,5600,947492.609886124,t,f,FR00 -> GB00,'LINESTRING (2.5531561680612014 46.661234529363774, -2.37991519288217 54.57429734494409)'
FR00-IE00-DC,FR00,IE00,380,700,1058322.256502035,t,f,FR00 -> IE00,'LINESTRING (2.5531561680612014 46.661234529363774, -7.761369198076182 53.48929977118493)'
FR00-ITN1-DC,FR00,ITN1,380,4485,570325.8189306703,t,f,FR00 -> ITN1,'LINESTRING (2.5531561680612014 46.661234529363774, 9.703872107321653 45.440276039583814)'
FR00-LUF1-DC,FR00,LUF1,380,380,437734.6706439678,t,f,FR00 -> LUF1,'LINESTRING (2.5531561680612014 46.661234529363774, 6.060078314929736 49.831245410072725)'
FR15-ITCO-DC,FR15,ITCO,380,120,0.0,t,f,FR15 -> ITCO,'LINESTRING (9.08481413412251 42.1620440291383, 9.08481413412251 42.1620440291383)'
GB00-BE00-DC,GB00,BE00,380,1000,675296.757137899,t,f,GB00 -> BE00,'LINESTRING (-2.37991519288217 54.57429734494409, 4.96793113501169 50.47063494467691)'
GB00-DE00-DC,GB00,DE00,380,1400,923519.9562596382,t,f,GB00 -> DE00,'LINESTRING (-2.37991519288217 54.57429734494409, 10.11340015140031 51.10991486311772)'
GB00-DKW1-DC,GB00,DKW1,380,1400,758031.4959202957,t,f,GB00 -> DKW1,'LINESTRING (-2.37991519288217 54.57429734494409, 9.231846810338668 56.25589129896813)'
GB00-FR00-DC,GB00,FR00,380,5600,947492.609886124,t,f,GB00 -> FR00,'LINESTRING (-2.37991519288217 54.57429734494409, 2.5531561680612014 46.661234529363774)'
GB00-GBNI-DC,GB00,GBNI,380,450,287798.85950542364,t,f,GB00 -> GBNI,'LINESTRING (-2.37991519288217 54.57429734494409, -6.84113264503611 54.53297893698612)'
GB00-IE00-DC,GB00,IE00,380,1750,371873.53869146993,t,f,GB00 -> IE00,'LINESTRING (-2.37991519288217 54.57429734494409, -7.761369198076182 53.48929977118493)'
GB00-NL00-DC,GB00,NL00,380,1000,592663.9110469068,t,f,GB00 -> NL00,'LINESTRING (-2.37991519288217 54.57429734494409, 5.506506419176196 52.08908232001923)'
GB00-NOS0-DC,GB00,NOS0,380,1400,962565.9115898216,t,f,GB00 -> NOS0,'LINESTRING (-2.37991519288217 54.57429734494409, 9.57699815953031 60.34827156120505)'
GBNI-GB00-DC,GBNI,GB00,380,400,287798.85950542364,t,f,GBNI -> GB00,'LINESTRING (-6.84113264503611 54.53297893698612, -2.37991519288217 54.57429734494409)'
GBNI-IE00-DC,GBNI,IE00,380,1200,131301.43965625777,t,f,GBNI -> IE00,'LINESTRING (-6.84113264503611 54.53297893698612, -7.761369198076182 53.48929977118493)'
GR00-AL00-DC,GR00,AL00,380,600,219635.11061683248,t,f,GR00 -> AL00,'LINESTRING (21.529612363362705 39.48616951026592, 20.036883988642362 41.117587702511265)'
GR00-BG00-DC,GR00,BG00,380,1400,479185.9319693426,t,f,GR00 -> BG00,'LINESTRING (21.529612363362705 39.48616951026592, 25.323948321769798 42.66875960983357)'
GR00-GR03-DC,GR00,GR03,380,800,549409.8574429221,t,f,GR00 -> GR03,'LINESTRING (21.529612363362705 39.48616951026592, 24.870955600140398 35.248359663342555)'
GR00-ITS1-DC,GR00,ITS1,380,500,456811.0210596293,t,f,GR00 -> ITS1,'LINESTRING (21.529612363362705 39.48616951026592, 16.501565091482913 40.92742166159263)'
GR00-MK00-DC,GR00,MK00,380,1100,236271.1633855353,t,f,GR00 -> MK00,'LINESTRING (21.529612363362705 39.48616951026592, 21.73596299130559 41.612799248609235)'
GR03-CY00-DC,GR03,CY00,380,1000,746706.7996089577,t,f,GR03 -> CY00,'LINESTRING (24.870955600140398 35.248359663342555, 33.00894727583923 34.944962529193454)'
GR03-GR00-DC,GR03,GR00,380,800,549409.8574429221,t,f,GR03 -> GR00,'LINESTRING (24.870955600140398 35.248359663342555, 21.529612363362705 39.48616951026592)'
HR00-BA00-DC,HR00,BA00,380,800,225105.37476101736,t,f,HR00 -> BA00,'LINESTRING (15.328558588707311 44.87715536673345, 17.867837381251395 43.98201574415204)'
HR00-HU00-DC,HR00,HU00,380,800,390187.9051801355,t,f,HR00 -> HU00,'LINESTRING (15.328558588707311 44.87715536673345, 19.07785532036663 47.21439242207342)'
HR00-RS00-DC,HR00,RS00,380,300,444257.33955391945,t,f,HR00 -> RS00,'LINESTRING (15.328558588707311 44.87715536673345, 20.844931029154555 44.22438574020019)'
HR00-SI00-DC,HR00,SI00,380,1500,154352.6818824484,t,f,HR00 -> SI00,'LINESTRING (15.328558588707311 44.87715536673345, 14.592048101522531 46.168654970248674)'
HU00-AT00-DC,HU00,AT00,380,800,324765.18689465034,t,f,HU00 -> AT00,'LINESTRING (19.07785532036663 47.21439242207342, 14.822183225330722 47.66889815500067)'
HU00-HR00-DC,HU00,HR00,380,1000,390187.9051801355,t,f,HU00 -> HR00,'LINESTRING (19.07785532036663 47.21439242207342, 15.328558588707311 44.87715536673345)'
HU00-RO00-DC,HU00,RO00,380,1617,450663.5883823694,t,f,HU00 -> RO00,'LINESTRING (19.07785532036663 47.21439242207342, 24.750474823757145 46.08897119764826)'
HU00-RS00-DC,HU00,RS00,380,600,358842.9734769457,t,f,HU00 -> RS00,'LINESTRING (19.07785532036663 47.21439242207342, 20.844931029154555 44.22438574020019)'
HU00-SI00-DC,HU00,SI00,380,1200,362686.63566289656,t,f,HU00 -> SI00,'LINESTRING (19.07785532036663 47.21439242207342, 14.592048101522531 46.168654970248674)'
HU00-SK00-DC,HU00,SK00,380,1800,160649.81740722715,t,f,HU00 -> SK00,'LINESTRING (19.07785532036663 47.21439242207342, 18.778426368090923 48.64514405218487)'
IE00-FR00-DC,IE00,FR00,380,700,1058322.256502035,t,f,IE00 -> FR00,'LINESTRING (-7.761369198076182 53.48929977118493, 2.5531561680612014 46.661234529363774)'
IE00-GB00-DC,IE00,GB00,380,1750,371873.53869146993,t,f,IE00 -> GB00,'LINESTRING (-7.761369198076182 53.48929977118493, -2.37991519288217 54.57429734494409)'
IE00-GBNI-DC,IE00,GBNI,380,1250,131301.43965625777,t,f,IE00 -> GBNI,'LINESTRING (-7.761369198076182 53.48929977118493, -6.84113264503611 54.53297893698612)'
ITCA-ITS1-DC,ITCA,ITS1,380,3250,214761.65778276962,t,f,ITCA -> ITS1,'LINESTRING (16.63489178531694 38.98588452308853, 16.501565091482913 40.92742166159263)'
ITCA-ITSI-DC,ITCA,ITSI,380,2000,292033.60693053505,t,f,ITCA -> ITSI,'LINESTRING (16.63489178531694 38.98588452308853, 13.863833035110499 37.54681112728547)'
ITCN-ITCO-DC,ITCN,ITCO,380,400,224925.07978034992,t,f,ITCN -> ITCO,'LINESTRING (11.238605314099033 43.418038709137846, 9.08481413412251 42.1620440291383)'
ITCN-ITCS-DC,ITCN,ITCS,380,4650,234998.71027992322,t,f,ITCN -> ITCS,'LINESTRING (11.238605314099033 43.418038709137846, 13.162117286238232 41.846461058064115)'
ITCN-ITN1-DC,ITCN,ITN1,380,4500,255456.73484012095,t,f,ITCN -> ITN1,'LINESTRING (11.238605314099033 43.418038709137846, 9.703872107321653 45.440276039583814)'
ITCO-FR15-DC,ITCO,FR15,380,150,0.0,t,f,ITCO -> FR15,'LINESTRING (9.08481413412251 42.1620440291383, 9.08481413412251 42.1620440291383)'
ITCO-ITCN-DC,ITCO,ITCN,380,400,224925.07978034992,t,f,ITCO -> ITCN,'LINESTRING (9.08481413412251 42.1620440291383, 11.238605314099033 43.418038709137846)'
ITCO-ITSA-DC,ITCO,ITSA,380,420,231600.26489498036,t,f,ITCO -> ITSA,'LINESTRING (9.08481413412251 42.1620440291383, 9.097370828691671 40.06762550551241)'
ITCS-ITCN-DC,ITCS,ITCN,380,5350,234998.71027992322,t,f,ITCS -> ITCN,'LINESTRING (13.162117286238232 41.846461058064115, 11.238605314099033 43.418038709137846)'
ITCS-ITN1-DC,ITCS,ITN1,380,2000,486313.86889661377,t,f,ITCS -> ITN1,'LINESTRING (13.162117286238232 41.846461058064115, 9.703872107321653 45.440276039583814)'
ITCS-ITS1-DC,ITCS,ITS1,380,3100,297759.35844897426,t,f,ITCS -> ITS1,'LINESTRING (13.162117286238232 41.846461058064115, 16.501565091482913 40.92742166159263)'
ITCS-ITSA-DC,ITCS,ITSA,380,720,396123.35116281424,t,f,ITCS -> ITSA,'LINESTRING (13.162117286238232 41.846461058064115, 9.097370828691671 40.06762550551241)'
ITCS-ITVI-DC,ITCS,ITVI,380,1000,478381.12880968663,t,f,ITCS -> ITVI,'LINESTRING (13.162117286238232 41.846461058064115, 13.863833035110499 37.54681112728547)'
ITCS-ME00-DC,ITCS,ME00,380,600,498849.2164986131,t,f,ITCS -> ME00,'LINESTRING (13.162117286238232 41.846461058064115, 19.082581244926107 42.67587451024281)'
ITN1-AT00-DC,ITN1,AT00,380,695,464387.90328120446,t,f,ITN1 -> AT00,'LINESTRING (9.703872107321653 45.440276039583814, 14.822183225330722 47.66889815500067)'
ITN1-CH00-DC,ITN1,CH00,380,3110,180649.89397381846,t,f,ITN1 -> CH00,'LINESTRING (9.703872107321653 45.440276039583814, 8.416155547862315 46.797090406754855)'
ITN1-FR00-DC,ITN1,FR00,380,2160,570325.8189306703,t,f,ITN1 -> FR00,'LINESTRING (9.703872107321653 45.440276039583814, 2.5531561680612014 46.661234529363774)'
ITN1-ITCN-DC,ITN1,ITCN,380,5300,255456.73484012095,t,f,ITN1 -> ITCN,'LINESTRING (9.703872107321653 45.440276039583814, 11.238605314099033 43.418038709137846)'
ITN1-ITCS-DC,ITN1,ITCS,380,2000,486313.86889661377,t,f,ITN1 -> ITCS,'LINESTRING (9.703872107321653 45.440276039583814, 13.162117286238232 41.846461058064115)'
ITN1-SI00-DC,ITN1,SI00,380,1080,388977.8535172718,t,f,ITN1 -> SI00,'LINESTRING (9.703872107321653 45.440276039583814, 14.592048101522531 46.168654970248674)'
ITS1-GR00-DC,ITS1,GR00,380,500,456811.0210596293,t,f,ITS1 -> GR00,'LINESTRING (16.501565091482913 40.92742166159263, 21.529612363362705 39.48616951026592)'
ITS1-ITCA-DC,ITS1,ITCA,380,2000,214761.65778276962,t,f,ITS1 -> ITCA,'LINESTRING (16.501565091482913 40.92742166159263, 16.63489178531694 38.98588452308853)'
ITS1-ITCS-DC,ITS1,ITCS,380,5700,297759.35844897426,t,f,ITS1 -> ITCS,'LINESTRING (16.501565091482913 40.92742166159263, 13.162117286238232 41.846461058064115)'
ITSA-ITCO-DC,ITSA,ITCO,380,480,231600.26489498036,t,f,ITSA -> ITCO,'LINESTRING (9.097370828691671 40.06762550551241, 9.08481413412251 42.1620440291383)'
ITSA-ITCS-DC,ITSA,ITCS,380,900,396123.35116281424,t,f,ITSA -> ITCS,'LINESTRING (9.097370828691671 40.06762550551241, 13.162117286238232 41.846461058064115)'
ITSA-ITVI-DC,ITSA,ITVI,380,1000,500332.17695374537,t,f,ITSA -> ITVI,'LINESTRING (9.097370828691671 40.06762550551241, 13.863833035110499 37.54681112728547)'
ITSI-ITCA-DC,ITSI,ITCA,380,2000,292033.60693053505,t,f,ITSI -> ITCA,'LINESTRING (13.863833035110499 37.54681112728547, 16.63489178531694 38.98588452308853)'
ITSI-ITVI-DC,ITSI,ITVI,380,1500,0.0,t,f,ITSI -> ITVI,'LINESTRING (13.863833035110499 37.54681112728547, 13.863833035110499 37.54681112728547)'
ITSI-MT00-DC,ITSI,MT00,380,225,190941.93497167536,t,f,ITSI -> MT00,'LINESTRING (13.863833035110499 37.54681112728547, 14.449111076294427 35.876192914932375)'
ITVI-ITCS-DC,ITVI,ITCS,380,1000,478381.12880968663,t,f,ITVI -> ITCS,'LINESTRING (13.863833035110499 37.54681112728547, 13.162117286238232 41.846461058064115)'
ITVI-ITSA-DC,ITVI,ITSA,380,1000,500332.17695374537,t,f,ITVI -> ITSA,'LINESTRING (13.863833035110499 37.54681112728547, 9.097370828691671 40.06762550551241)'
