country,year,electricity residential space,total residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,distributed heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,distributed heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
ES,2010,17.840686029398,117.21454749291443,22.022211855924702,5.118416627889575,13.518372282996816,6.990989772204715,202.110141,80.049,0.0,154.52169746516927,36.688034452516774,7.719216116333838,14.981045154961983,7.863465617009762,16.43435482060819,10.114437259018443,126.23911659546576,84.05287659546575,0.0,77.1102278961205,2.8249072837496993,14.664772854557071,8.570161861693228,26.059842,346.71137340453436,0.00012340453426618901,6.282070978809947,218.3560959284113,0.00012340453426618901,14.13493423806065,0.0,28.156478931546957,0.0,79.7817933277055,10.466556,3.061,7.612688216159506,2.9274485377879857,2.853867783840495,0.13355146221201472,62.987027882753296,1.3871661172467087,28.065194,35.472726817820224,0.7540324222195949,0.6331336950271138,28.8192264222196,36.10586051284733,12.328333,97.91238850000002
ES,2011,17.478284811216135,102.44585665549876,22.30580661365167,5.876916847125183,12.478980587659928,6.630641344948469,186.793775,80.185,0.0,139.00720052347702,36.45951649938804,5.775299805015627,15.05781977452726,7.852318709291837,16.66434094303098,10.25239154029673,125.91015110017578,81.84601710017579,0.0,76.54576504200065,2.8461672557273445,16.2195675190064,8.863455225266259,27.929190000000006,332.1416988998243,0.000982899824227194,5.7577992268458615,210.74587183937325,0.0009407839098467903,14.063141676186707,0.0,27.493754795920257,3.459059070600615e-05,74.08113136149822,9.820667000000002,3.729000000000001,8.074425301272006,3.4383331727216997,1.7462416987279967,0.2906668272783025,67.28692353389897,1.3379094661010362,25.161832999999994,42.5528645886068,0.6429819121650743,0.6949275539359621,25.80481491216507,43.24779214254277,9.652445,100.06299647000002
ES,2012,16.038673985812686,100.31163671865755,22.5856097302232,5.782423848441958,12.514868498268834,6.529669757542618,185.531063,79.111,0.0,137.16488522492736,29.772537174936602,3.526383734343821,14.777272353613089,7.084080350502948,16.56749804876281,9.808931766085244,121.28398101958422,80.77084101958422,0.0,71.30125109449125,2.901897787578484,18.727935230354817,9.942240982066691,31.57207399999999,303.5166319804158,0.002158980415793661,5.440772117108107,195.98624293794174,0.0017352463064344702,13.804011003826055,0.0,25.399979022734122,0.00031775835383824084,62.88562689880576,10.355778,3.6429999999999993,8.594695157867527,3.4035679604585884,1.761082842132473,0.2394320395414114,63.52778523473935,1.1892427652606707,21.780778000000005,42.11674716945736,0.5605505065349818,0.6286922587256888,22.341328506534985,42.74543942818305,10.027,97.67799748000002
ES,2013,5.233762222222222,73.99924,30.983928333333335,5.306808888888889,13.390423611111112,6.601071666666667,173.14702194444445,71.05960555555555,0.0,128.29280829131014,26.516511161296208,1.92910392688681,15.041271297525059,6.84197501424435,16.767307331036182,9.116840988653285,116.60725209783172,76.3401120978317,0.0,66.55085881146978,3.228415728757571,20.766913228463206,10.70968804277922,34.705017,298.0899709021683,0.003887902168303467,5.370395094238821,193.77565760103857,0.003507509466270949,13.041769935284838,0.0,25.30384125816195,0.0001852260694954943,60.598307013444085,4.483611000000001,3.54,3.803591100285732,3.2266294682342003,0.6800198997142677,0.31337053176579976,60.164810630266786,1.1957173697332129,18.559028,41.94898510040689,0.5298981960421328,0.66581917369108,19.08892619604213,42.61480427409797,5.891722,84.04543941000001
ES,2014,5.2079836111111115,74.4384861111111,30.523789722222222,5.280670555555556,13.077949722222222,6.568558611111111,171.9652361111111,70.7096075,0.0,127.00601663020747,15.931672653271752,1.0705867676399765,14.740839014947435,5.625357269301466,17.736871008950402,5.82938086067,106.39537748515106,70.58859848515107,0.0,55.95428592679584,3.5445590190052565,19.754588117974734,10.231416863019996,33.53056399999999,301.65641851484907,0.017401514848943356,5.965309546920433,195.87509337980606,0.004978600185169223,12.88860187420546,0.011129022349113412,24.605589503259168,0.0006246498691852716,62.321824210657894,4.549667,3.6180000000000003,3.8266605714871944,3.277775417266139,0.7230064285128058,0.3402245827338622,62.06488288196481,1.1575341180351966,19.661417000000004,42.73125304627216,0.4912458828954327,0.6662882351397638,20.152662882895434,43.39754128141192,3.807166,90.84733795000001
ES,2015,5.160772222222222,78.97563472222221,31.989786944444443,5.232800277777777,13.248220555555555,6.509013333333334,177.57709444444444,70.06861111111111,0.0,129.08864351764208,15.025438563944679,1.1883787886771144,13.994535772470584,5.493344782329295,18.058276362812272,4.825517460663381,109.66862608891299,74.12932908891298,0.0,57.98922881904435,3.777778270480321,17.827653712567432,10.122855016952244,31.728286999999995,310.40778691108704,0.029670911087004745,6.385684446965858,199.75397301657765,0.00808949614924723,12.927393711189977,0.018097879114029495,25.424997239188116,0.0018429362050207216,65.91573849716549,4.696222,3.669,3.9915517768227535,3.267047360852617,0.7046702231772467,0.4019526391473827,66.01726972209099,1.2844522779090228,21.266222,45.06956408273873,0.500448453845059,0.784003824063964,21.76667045384506,45.853567906802695,5.1992780000000005,87.09216214000001
ES,2016,5.129764444444444,68.29967916666666,32.05170277777778,5.2013597222222225,13.208348888888889,6.469904722222222,166.66644805555555,69.64761333333333,0.0,118.16662485373936,16.81599229757799,1.4381528095767515,13.647728386221859,4.904677625985181,18.038495420205546,3.8560774835080607,111.68027682981301,73.40772882981301,0.0,58.969762990210846,3.853214790272276,17.721861490258505,10.315027719469217,31.890104000000004,320.43754417018704,0.04327117018701031,6.591230561110487,201.2213092963069,0.011221113063255215,13.151455650487675,0.02505801520133304,24.40589318608865,0.003481269711528408,75.06765547619335,4.5206669999999995,3.5889999999999995,3.9472197805275777,3.250318715148785,0.573447219472422,0.3386812848512145,70.71949713837805,1.2249748616219254,23.140471999999995,47.88193992626743,0.4659774984042039,0.7589973632177214,23.6064494984042,48.64093728948515,7.307564000000001,87.49288542000001
ES,2017,5.258288333333334,67.81898027777778,31.906970277777777,5.3316775000000005,13.19925888888889,6.632005277777778,167.36803333333336,71.39260388888889,0.0,119.95861645812741,18.61061853007111,2.1903497422418168,13.15554805794629,4.42913735823694,18.637047586232757,4.703103445680421,114.39450611094227,75.32861411094228,0.0,62.326750896690704,3.8285085957289997,17.860481034511167,10.408938369759825,32.097927999999996,327.47155188905776,0.06138588905771884,6.233734307703457,203.16378801447172,0.017476683584241853,8.559793330835014,0.030876434278726682,26.1648845155778,0.00492671361684746,83.34935172046977,4.570722,3.651,3.826878436393497,3.3385568413986375,0.7438435636065024,0.3124431586013622,76.89766912576958,1.5270528742304401,25.14947200000001,52.09329256747853,0.5445754923608117,0.9824773818696286,25.694047492360824,53.07576994934816,11.145453,77.70913629000002
ES,2018,5.524395833333333,71.1780286111111,34.3451675,5.601498888888889,14.0214825,6.9676325,176.5186225,75.00558361111112,0.0,130.109613171068,22.029488151820253,2.7168694914199327,13.880101960210373,5.009719845946541,18.86426023290789,6.271729443438782,115.27011204756272,74.55908604756272,0.0,63.17006532333675,3.4315423607606883,18.259787824464027,10.62053381477529,32.311864,334.86081995243734,0.09391395243731034,5.910856455064976,208.04867091172346,0.030337438838434542,8.62065055688784,0.04049023085647882,26.514149362356296,0.008307491592017444,85.76649266640477,4.587611000000001,3.644000000000001,3.8124411732987022,3.3527753682400676,0.7751698267012981,0.2912246317599325,80.04846667309008,1.622505326909933,26.166222,54.1913094809755,0.5134784231839427,1.10902690372599,26.679700423183945,55.30033638470149,11.527675,81.44249422000001
ES,2019,5.375248888888889,66.96409,32.35730083333333,5.450270555555555,13.239691666666667,6.779521666666667,167.9984611111111,72.980595,0.0,121.74721892495069,21.990635210265147,3.1213368713162852,13.541750846279035,4.605759514249331,19.32004795458663,6.687526239757781,115.03692218841496,74.65064918841497,0.0,63.53472082763664,3.713298656037904,19.219115000350396,11.1282073436117,34.060621,337.6887478115851,0.15535081158502925,6.22129337617231,214.19733637999488,0.05122793090413574,8.90316918877014,0.06645832171293745,26.651769332324204,0.01142878299645747,81.71517953432347,4.4445,3.477,3.608034249483284,3.206466562721099,0.8364657505167159,0.27053343727890106,83.05123601644655,1.486291983553443,27.660778,55.664881526712996,0.5007553867123212,0.9855365968411217,28.161533386712318,56.65041812355412,12.070008,83.56624852000002
