OFFSHORE_NODE;OFFSHORE_NODE_TYPE;YEAR;SCENARIO;TECH1;TECH2;TECH3;TECH4;TECH5;TECH6;EXISTING_MW;MARGIN_MW;MAX_MW
ESOH001;Hub;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;4102,284887;5502,284887
ESOH001;Hub;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;168,5870501;1568,58705
ESOH001;Hub;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1011,522301;2411,522301
ESOH001;Hub;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1854,457552;3254,457552
ESOH001;Hub;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;2978,371219;4378,371219
ESOH001;Hub;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;4102,284887;5502,284887
ESOH002;Hub;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;142,5112567;642,5112567
ESOH002;Hub;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;855,0675404;1355,06754
ESOH002;Hub;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;1567,623824;2067,623824
ESOH002;Hub;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;2517,698869;3017,698869
ESOH002;Hub;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;3467,773914;3967,773914
ESOH002;Hub;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;142,5112567;642,5112567
ESOH002;Hub;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;855,0675404;1355,06754
ESOH002;Hub;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;1567,623824;2067,623824
ESOH002;Hub;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;2517,698869;3017,698869
ESOH002;Hub;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;3467,773914;3967,773914
ESOH002;Hub;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;142,5112567;642,5112567
ESOH002;Hub;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;855,0675404;1355,06754
ESOH002;Hub;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;1567,623824;2067,623824
