,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DKE1,DKW1,EE00,ES00,FI00,FR00,FR15,GB00,GBNI,GR00,GR03,HR00,HU00,IE00,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM1,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,ITCO,ITVI
2009-01-09 08:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 09:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 10:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 11:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 12:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 13:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 14:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 15:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 16:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 17:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 18:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 19:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 20:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 21:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 22:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-09 23:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-10 00:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-10 01:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-10 02:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-10 03:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-10 04:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-10 05:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
2009-01-10 06:00:00,0.0,241.84472519803674,98.3988095238095,0.0,25.847634828553847,89.1790425056691,0.0,1.4246839122220607,26.40278200732558,0.0,0.0,0.0,23.188918072482036,0.0,0.0,0.0,0.0,0.0,154.87499999999997,0.0,66.11946020536726,0.0,0.0,0.0,0.0,108.90058043117743,191.32040615911035,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78297166969973,0.0,218.12058223884466,5.170144987977479,395.7797619047618,279.23937188816546,0.0,0.0,0.0,0.0,0.0,0.0,6.7218085800165,0.0,0.0
