carrier,index_carrier,bus,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
coal,coal-new,BA00,0.0,0.0,1.0,BA,MW,coal
coal,coal-ccs,BA00,0.0,0.0,1.0,BA,MW,coal-ccs
lignite,lignite-old1,BA00,1063.0,0.0,1.0,BA,MW,lignite
lignite,lignite-old2,BA00,275.0,0.0,1.0,BA,MW,lignite
lignite,lignite-new,BA00,410.0,0.0,1.0,BA,MW,lignite
lignite,lignite-ccs,BA00,0.0,0.0,1.0,BA,MW,lignite-ccs
gas,gas-conv-old1,BA00,0.0,0.0,1.0,BA,MW,gas-conv
gas,gas-conv-old2,BA00,0.0,0.0,1.0,BA,MW,gas-conv
gas,gas-ccgt-old1,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-old2,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-new,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-ccs,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt-ccs
gas,gas-ocgt-old,BA00,0.0,0.0,1.0,BA,MW,gas-ocgt
gas,gas-ocgt-new,BA00,0.0,0.0,1.0,BA,MW,gas-ocgt
oil-light,oil-light,BA00,0.0,0.0,1.0,BA,MW,oil-light
oil-heavy,oil-heavy-old1,BA00,0.0,0.0,1.0,BA,MW,oil-heavy
oil-heavy,oil-heavy-old2,BA00,0.0,0.0,1.0,BA,MW,oil-heavy
oil-shale,oil-shale-old,BA00,0.0,0.0,1.0,BA,MW,oil-shale
oil-shale,oil-shale-new,BA00,0.0,0.0,1.0,BA,MW,oil-shale
gas,gas-ccgt-present1,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-present2,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,BA00,0.0,0.0,1.0,BA,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,BA00,0.0,0.0,1.0,BA,MW,h2-ccgt
other-res,other-res,BA00,0,0.0,1.0,BA,MW,other-res
electrolyser,electrolyser-onshore-grid,BE00,373.000000000001,0.0,0.6799999999999999,BE,MW,electrolyser-onshore-grid
hydro-ror,hydro-ror-turbine,BE00,148.2020000000001,0.0,1.0,BE,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,BE00,0.0,0.0,1.0,BE,MWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,BE00,0.0,0.0,1.0,BE,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,BE00,0.0,0.0,1.0,BE,MWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,BE00,0.0,0.0,1.0,BE,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,BE00,0.0,0.0,1.0,BE,MWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,BE00,0.0,0.0,1.0,BE,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,BE00,0.0,0.0,1.0,BE,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,BE00,0.0,11600.0,1.0,BE,MWh,hydro-phs-pure-reservoir
